sub,condition,file
sub-005,flow,sub-005_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-006,flow,sub-006_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-007,flow,sub-007_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-008,flow,sub-008_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-009,flow,sub-009_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-011,flow,sub-011_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-012,flow,sub-012_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-013,flow,sub-013_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-014,flow,sub-014_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-015,flow,sub-015_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-016,flow,sub-016_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-017,flow,sub-017_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-018,flow,sub-018_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-019,flow,sub-019_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-020,flow,sub-020_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-021,flow,sub-021_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-022,flow,sub-022_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-023,flow,sub-023_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-024,flow,sub-024_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-025,flow,sub-025_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-026,flow,sub-026_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-028,flow,sub-028_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-029,flow,sub-029_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-030,flow,sub-030_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-031,flow,sub-031_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-032,flow,sub-032_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-033,flow,sub-033_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-034,flow,sub-034_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-035,flow,sub-035_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-036,flow,sub-036_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-037,flow,sub-037_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-039,flow,sub-039_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-040,flow,sub-040_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-041,flow,sub-041_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-042,flow,sub-042_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-005,boredom,sub-005_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-006,boredom,sub-006_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-007,boredom,sub-007_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-008,boredom,sub-008_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-009,boredom,sub-009_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-011,boredom,sub-011_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-012,boredom,sub-012_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-013,boredom,sub-013_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-014,boredom,sub-014_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-015,boredom,sub-015_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-016,boredom,sub-016_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-017,boredom,sub-017_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-018,boredom,sub-018_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-019,boredom,sub-019_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-020,boredom,sub-020_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-021,boredom,sub-021_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-022,boredom,sub-022_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-023,boredom,sub-023_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-024,boredom,sub-024_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-025,boredom,sub-025_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-026,boredom,sub-026_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-028,boredom,sub-028_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-029,boredom,sub-029_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-030,boredom,sub-030_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-031,boredom,sub-031_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-032,boredom,sub-032_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-033,boredom,sub-033_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-034,boredom,sub-034_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-035,boredom,sub-035_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-036,boredom,sub-036_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-037,boredom,sub-037_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-039,boredom,sub-039_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-040,boredom,sub-040_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-041,boredom,sub-041_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-042,boredom,sub-042_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-005,frustration,sub-005_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-006,frustration,sub-006_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-007,frustration,sub-007_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-008,frustration,sub-008_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-009,frustration,sub-009_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-011,frustration,sub-011_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-012,frustration,sub-012_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-013,frustration,sub-013_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-014,frustration,sub-014_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-015,frustration,sub-015_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-016,frustration,sub-016_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-017,frustration,sub-017_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-018,frustration,sub-018_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-019,frustration,sub-019_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-020,frustration,sub-020_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-021,frustration,sub-021_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-022,frustration,sub-022_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-023,frustration,sub-023_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-024,frustration,sub-024_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-025,frustration,sub-025_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-026,frustration,sub-026_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-028,frustration,sub-028_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-029,frustration,sub-029_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-030,frustration,sub-030_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-031,frustration,sub-031_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-032,frustration,sub-032_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-033,frustration,sub-033_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-034,frustration,sub-034_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-035,frustration,sub-035_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-036,frustration,sub-036_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-037,frustration,sub-037_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-039,frustration,sub-039_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-040,frustration,sub-040_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-041,frustration,sub-041_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-042,frustration,sub-042_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
